Model class	Model type	Scale	Data source	Data type	Correlation threshold for removing explanatory variables	Group 1 n	Group 2 n	Wilcox statistic	P	Significance	Mean MAE for variable-removed models	Mean MAE for observation-removed models
Envelope	BIOCLIM	Mich	All	Presence-only	0.5	4	4	0	0.0286	S	0.7492	0.8456
Envelope	BIOCLIM	Mich	All	Presence-only	0.7	4	4	0	0.0286	S	0.8679	0.901
Envelope	BIOCLIM	Mich	Observation	Presence-only	0.5	4	4	0	0.0286	S	0.7503	0.8442
Envelope	BIOCLIM	Mich	Observation	Presence-only	0.7	4	4	1	0.0571	Ns	0.8681	0.8983
Envelope	BIOCLIM	Mich	Specimen	Presence-only	0.5	4	4	5	0.486	Ns	0.8338	0.8643
Envelope	BIOCLIM	Mich	Specimen	Presence-only	0.7	4	4	11	0.486	Ns	0.9078	0.9005
Envelope	BIOCLIM	Sag	All	Presence-only	0.7	4	4	2	0.114	Ns	0.7667	0.8191
Envelope	DOMAIN	Mich	All	Presence-only	0.5	4	4	0	0.0286	S	0.261	0.3633
Envelope	DOMAIN	Mich	All	Presence-only	0.7	4	4	0	0.0286	S	0.4547	0.4865
Envelope	DOMAIN	Mich	Observation	Presence-only	0.5	4	4	2	0.114	Ns	0.2634	0.3639
Envelope	DOMAIN	Mich	Observation	Presence-only	0.7	4	4	4	0.343	Ns	0.4575	0.4858
Envelope	DOMAIN	Mich	Specimen	Presence-only	0.5	4	4	7	0.886	Ns	0.4397	0.461
Envelope	DOMAIN	Mich	Specimen	Presence-only	0.7	4	4	8	1	Ns	0.5937	0.5926
Envelope	DOMAIN	Sag	All	Presence-only	0.7	4	4	0	0.0286	S	0.3895	0.4504
ML	ANN	Mich	All	Presence-background	0.5	3	4	12	0.0571	Ns	0.1847	0.1146
ML	ANN	Mich	Observation	Presence-background	0.7	3	4	8	0.629	Ns	0.1629	0.1337
ML	ANN	Mich	Specimen	Presence-background	0.5	4	4	3	0.2	Ns	0.1945	0.2933
ML	ANN	Mich	Specimen	Presence-background	0.7	4	4	8	1	Ns	0.1954	0.2459
ML	ANN	Sag	All	Presence-absence	0.7	4	4	16	0.0286	S	0.4157	0.3677
ML	BRT	Mich	All	Presence-background	0.5	4	4	16	0.0286	S	0.1943	0.1099
ML	BRT	Mich	All	Presence-background	0.7	4	4	16	0.0286	S	0.1455	0.103
ML	BRT	Mich	Observation	Presence-background	0.5	4	4	16	0.0286	S	0.1972	0.1134
ML	BRT	Mich	Observation	Presence-background	0.7	4	4	16	0.0286	S	0.1407	0.1055
